Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,006208.TW,2330.TW,AAPL,006208.TW,2330.TW,AAPL,006208.TW,2330.TW,AAPL,006208.TW,2330.TW,AAPL,006208.TW,2330.TW,AAPL,006208.TW,2330.TW,AAPL
Date,,,,,,,,,,,,,,,,,,
2024/1/2,75.76611328,585.3610229,184.7349701,76.90000153,593,185.6399994,77.34999847,593,188.4400024,76.69999695,589,183.8899994,77.15000153,590,187.1499939,2839850,26059058,82488700
2024/1/3,74.48527527,570.5542603,183.3517609,75.59999847,578,184.25,76.25,585,185.8800049,75.40000153,576,183.4299927,76.25,584,184.2200012,6382057,37106763,58414500
2024/1/4,74.4360199,572.5284424,181.0231781,75.55000305,580,181.9100037,75.80000305,581,183.0899963,75.44999695,577,180.8800049,75.59999847,580,182.1499939,2976905,15309129,71983600
2024/1/5,74.2389679,568.5800171,180.2967072,75.34999847,576,181.1799927,75.80000305,580,182.7599945,75.25,574,180.1699982,75.55000305,578,181.9900055,2577533,18158971,62303300
2024/1/8,74.78085327,575.4898071,184.655365,75.90000153,583,185.5599976,76.19999695,585,185.6000061,75.59999847,579,181.5,75.59999847,582,182.0899963,4169890,17761275,59144500
2024/1/9,74.73159027,578.4512329,184.2374115,75.84999847,586,185.1399994,76.40000153,589,185.1499939,75.80000305,583,182.7299957,76.25,588,183.9199982,2222119,22501510,42841800
2024/1/10,74.4360199,576.4769287,185.2823029,75.55000305,584,186.1900024,75.69999695,586,186.3999939,75.30000305,580,183.9199982,75.55000305,581,184.3500061,2856528,13037716,46792900
2024/1/11,74.78085327,578.4512329,184.6852264,75.90000153,586,185.5899963,76,589,187.0500031,75.55000305,583,183.6199951,75.75,586,186.5399933,2105103,23997409,49128400
2024/1/12,74.58380127,576.4769287,185.0136108,75.69999695,584,185.9199982,75.94999695,588,186.7400055,75.30000305,581,185.1900024,75.65000153,581,186.0599976,3444011,16496053,40444700
2024/1/15,74.58380127,578.4512329,,75.69999695,586,,75.69999695,590,,75.69999695,585,,75.69999695,590,,0,21143076,
2024/1/16,74.09117126,572.5284424,182.7347717,75.19999695,580,183.6300049,75.65000153,588,184.2599945,74.84999847,579,180.9299927,75.44999695,581,182.1600037,7100004,27223860,65603000
2024/1/17,73.59854889,573.515625,181.7893982,74.69999695,581,182.6799927,75.19999695,584,182.9299927,74.55000305,578,180.3000031,75.19999695,583,181.2700043,5515147,42592335,47317400
2024/1/18,73.89412689,580.425415,187.7104187,75,588,188.6300049,75.15000153,589,189.1399994,74.75,585,185.8300018,74.80000305,586,186.0899963,2923499,27209996,78005800
2024/1/19,76.35726166,617.9358521,190.6261139,77.5,626,191.5599976,77.55000305,627,191.9499969,76.44999695,614,188.8200073,76.44999695,625,189.3300018,9726878,161106401,68741000
2024/1/22,76.75137329,617.9358521,192.9447479,77.90000153,626,193.8899994,78.25,633,195.3300018,77.65000153,623,192.2599945,77.94999695,633,192.3000031,5353117,65168775,60133900
